cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,copy_player,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance,clique_5_distance
5.0,29.0,9.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.4606502888497777,0.8079215381609608,0.6263068972837608,0.6234502421030423,0.6354999942577508,0.641905517217127,0.6154238201797902
5.0,30.0,7.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.378558280934059,0.7936894491855203,0.6018427238937126,0.6104088616538232,0.6251528340634823,0.6351111046435385,0.6120262458875716
5.0,31.0,7.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.3952030876674253,0.8078020949266409,0.6353850490037779,0.6096681267939361,0.6235042866186542,0.6367166855711017,0.6436502900487098
5.0,32.0,10.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.4012921111764056,0.7961263614547369,0.6119971672572934,0.618630852509866,0.5343921514442507,0.5681435345675799,0.6164396730210412
5.0,33.0,5.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.3571116669199395,0.7407221577868776,0.6600390468514651,0.6215118578050247,0.6212311218450721,0.6100495399531181,0.6314988002527003
5.0,34.0,10.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.3848776677648447,0.8075180344448168,0.6485712318558112,0.6317640181158158,0.6433748253824175,0.6413931653000031,0.621647496152862
5.0,35.0,6.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.394753168555142,0.711798225607118,0.6533340898276437,0.6184298598954774,0.5866097641564023,0.6067115726305047,0.6423440545293937
5.0,36.0,7.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.393347224262266,0.7313933430723313,0.6357458206046042,0.608177307250811,0.6181740725897992,0.6194858270737968,0.6159810082985547
5.0,37.0,7.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.4073894480485167,0.7334642102377855,0.6293445699444469,0.6056809714650244,0.5965313416141442,0.6183423821619952,0.5639978643985977
5.0,38.0,10.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.396133248703471,0.8511383736378929,0.6165509180000508,0.5876575903286356,0.5899010589883578,0.6136911208666204,0.6186268108589964
5.0,39.0,8.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.395949968325883,0.7747384270255813,0.607713425299314,0.637989294929701,0.6175922471566744,0.6146878125380916,0.548914338779
5.0,40.0,5.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.3608356140254845,0.7113115593250502,0.6277175416398574,0.578769727551822,0.6242536544147619,0.6124720884985774,0.637191389492874
5.0,41.0,9.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.417402160947456,0.7803509894683225,0.5762610080195956,0.6047987345182472,0.6219920374894398,0.631498807323085,0.6673062821901361
5.0,42.0,9.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.384713425123815,0.7676596800338984,0.5982797446639866,0.6148359880088405,0.605548407328133,0.5986070487852435,0.6213298128409107
5.0,43.0,8.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.4478225949407415,0.7738746821405486,0.608601812768932,0.6271602149145613,0.6345331953757956,0.5490804532900816,0.6195235392947535
5.0,44.0,6.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.4019449201918035,0.7184385065018993,0.6177530967965122,0.622536205164743,0.6237856674274858,0.5567166412731465,0.5841779865718728
5.0,45.0,10.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.427159829897171,0.8683740639719437,0.6450540974233974,0.6033205061673499,0.6111285395718461,0.6055118193188151,0.6321711897346667
5.0,46.0,7.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.429257106891303,0.7400373249119245,0.5871622638732498,0.6509530050510733,0.6413192758903664,0.6452595753494593,0.6242352261360716
5.0,47.0,5.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.36245130138468,0.7611781269328817,0.6422104870318054,0.6399345196443762,0.608631726150938,0.6242186123313462,0.6265281350625004
5.0,48.0,5.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.4172569627009795,0.7489740573516592,0.6026018867474321,0.6074480708226184,0.5996931946342288,0.628451661299906,0.5849782037203322
5.0,49.0,9.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.4274970937443614,0.8069671953075299,0.601143268162918,0.6354506720735521,0.6610629097537563,0.6372548067199008,0.6290890651673102
5.0,50.0,8.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.41475246863109,0.7713969519706557,0.6048310306190293,0.6195299048409184,0.5891912635557452,0.6289493674079618,0.6234733183925072
5.0,51.0,9.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.3914573431562594,0.8272749277097501,0.5680166385268591,0.6166148984525975,0.6298976961502774,0.619366559550643,0.640018808051949
5.0,52.0,10.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.3879049950009286,0.8531717799683692,0.6200791588226504,0.6663872584818339,0.6102089118171524,0.6604743014638682,0.630800570372578
5.0,53.0,5.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.420025578229672,0.7240171433389913,0.6087846321623844,0.5955655053061129,0.6020508920958554,0.6036872706207294,0.6088453925947487
