cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance
2.0,178.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4756160392837256,0.7111051855553403,0.6066602110315575,0.6267967743566095
2.0,179.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.409124797485773,0.6791804200109001,0.604645687090481,0.6354143176350086
2.0,180.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.459498057065301,0.6802566689545209,0.6094421312498126,0.6112194651877099
2.0,181.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.423241302085463,0.6338540377439128,0.5659119087116093,0.5968284710582312
2.0,182.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4432906738594826,0.7032293534465985,0.631046192277157,0.624862446867187
2.0,183.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.394727549588302,0.6825402600802439,0.5846541434236336,0.6197125833124512
2.0,184.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.292916427483838,0.6487188146785173,0.6053063607531545,0.5950052237647575
2.0,185.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4531517170093164,0.6614296926991335,0.6051167401119457,0.5875593964695816
2.0,186.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.38921562142874,0.646335162442484,0.6111301198036805,0.6029660075504449
2.0,187.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4615156040763937,0.7011141181068954,0.6039639217098055,0.6228042954231297
2.0,188.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.394692845852054,0.6876981228115951,0.623413097392655,0.5972829636109139
2.0,189.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.431099112754385,0.6945461710857802,0.625737725177895,0.6286527369271504
2.0,190.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.394944660509696,0.6556434779438575,0.6166624591472966,0.6069293081935595
2.0,191.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.44608515208012,0.704081182974085,0.6050514743412506,0.5911926775519404
2.0,192.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.470340013991848,0.6674049176019632,0.60013608394135,0.6194450979177355
2.0,193.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3941710349983185,0.6868371290222052,0.6201159386134849,0.6296457348305955
2.0,194.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.391068061182788,0.6846903054556596,0.6304043879546338,0.6245721794069728
2.0,195.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.482455604683894,0.7020652436602215,0.6220761049691446,0.6129624923861886
2.0,196.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4649231933367313,0.6810604535028114,0.6203820994070773,0.6077652439264035
2.0,197.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3129320979312338,0.7194390325189665,0.6343819127904665,0.6086504246137185
2.0,198.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.36918102721489,0.6777101192340018,0.5994498499849055,0.6001904515825944
2.0,199.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4394720581573233,0.686551836035901,0.6243643315493322,0.5925868306574703
